(01:58:05) Received <- Name=ProtocolRequired; Id=1;
(01:58:05) Received <- Name=HelloGameMessage; Id=101;
(01:58:05) Sent     -> Name=AuthenticationTicketMessage; Id=110;
(01:58:05) Received <- Name=RawDataMessage; Id=6253;
(01:58:06) Sent     -> Name=CheckIntegrityMessage; Id=6372;
(01:58:06) Received <- Name=AuthenticationTicketAcceptedMessage; Id=111;
(01:58:06) Received <- Name=BasicTimeMessage; Id=175;
(01:58:06) Received <- Name=ServerSettingsMessage; Id=6340;
(01:58:06) Received <- Name=ServerOptionalFeaturesMessage; Id=6305;
(01:58:06) Received <- Name=ServerSessionConstantsMessage; Id=6434;
(01:58:06) Received <- Name=AccountCapabilitiesMessage; Id=6216;
(01:58:06) Received <- Name=TrustStatusMessage; Id=6267;
(01:58:06) Received <- Name=HaapiSessionMessage; Id=6769;
(01:58:06) Sent     -> Name=CharactersListRequestMessage; Id=150;
(01:58:06) Received <- Name=QueueStatusMessage; Id=6100;
(01:58:06) Received <- Name=QueueStatusMessage; Id=6100;
(01:58:06) Received <- Name=QueueStatusMessage; Id=6100;
(01:58:06) Received <- Name=CharactersListMessage; Id=151;
(01:58:09) Sent     -> Name=CharacterSelectionMessage; Id=152;
(01:58:09) Received <- Name=QueueStatusMessage; Id=6100;
(01:58:09) Received <- Name=HavenBagRoomUpdateMessage; Id=6860;
(01:58:09) Received <- Name=NotificationListMessage; Id=6087;
(01:58:09) Received <- Name=CharacterSelectedSuccessMessage; Id=153;
(01:58:09) Received <- Name=InventoryContentMessage; Id=3016;
(01:58:09) Received <- Name=ShortcutBarContentMessage; Id=6231;
(01:58:09) Received <- Name=HavenBagRoomUpdateMessage; Id=6860;
(01:58:09) Received <- Name=HavenBagPackListMessage; Id=6620;
(01:58:09) Received <- Name=EmoteListMessage; Id=5689;
(01:58:09) Received <- Name=JobDescriptionMessage; Id=5655;
(01:58:09) Received <- Name=JobExperienceMultiUpdateMessage; Id=5809;
(01:58:09) Received <- Name=JobCrafterDirectorySettingsMessage; Id=5652;
(01:58:09) Received <- Name=DareCreatedListMessage; Id=6663;
(01:58:09) Received <- Name=DareSubscribedListMessage; Id=6658;
(01:58:09) Received <- Name=DareWonListMessage; Id=6682;
(01:58:09) Received <- Name=DareRewardsListMessage; Id=6677;
(01:58:09) Received <- Name=PrismsListMessage; Id=6440;
(01:58:09) Received <- Name=EnabledChannelsMessage; Id=892;
(01:58:09) Received <- Name=ChatCommunityChannelCommunityMessage; Id=6730;
(01:58:09) Received <- Name=AlignmentRankUpdateMessage; Id=6058;
(01:58:09) Received <- Name=InventoryWeightMessage; Id=3009;
(01:58:09) Received <- Name=FriendWarnOnConnectionStateMessage; Id=5630;
(01:58:09) Received <- Name=FriendWarnOnLevelGainStateMessage; Id=6078;
(01:58:09) Received <- Name=FriendGuildWarnOnAchievementCompleteStateMessage; Id=6383;
(01:58:09) Received <- Name=WarnOnPermaDeathStateMessage; Id=6513;
(01:58:09) Received <- Name=FriendStatusShareStateMessage; Id=6823;
(01:58:09) Received <- Name=GuildMemberWarnOnConnectionStateMessage; Id=6160;
(01:58:09) Received <- Name=SequenceNumberRequestMessage; Id=6316;
(01:58:09) Received <- Name=TextInformationMessage; Id=780;
(01:58:09) Received <- Name=TextInformationMessage; Id=780;
(01:58:09) Received <- Name=FollowedQuestsMessage; Id=6717;
(01:58:09) Received <- Name=TextInformationMessage; Id=780;
(01:58:09) Received <- Name=ServerExperienceModificatorMessage; Id=6237;
(01:58:09) Received <- Name=SpouseStatusMessage; Id=6265;
(01:58:09) Received <- Name=AchievementListMessage; Id=6205;
(01:58:10) Received <- Name=GameRolePlayArenaUpdatePlayerInfosAllQueuesMessage; Id=6728;
(01:58:10) Received <- Name=CharacterCapabilitiesMessage; Id=6339;
(01:58:10) Received <- Name=AlmanachCalendarDateMessage; Id=6341;
(01:58:10) Received <- Name=IdolListMessage; Id=6585;
(01:58:10) Received <- Name=CharacterExperienceGainMessage; Id=6321;
(01:58:10) Received <- Name=AccountHouseMessage; Id=6315;
(01:58:10) Received <- Name=SpellListMessage; Id=1200;
(01:58:10) Received <- Name=ShortcutBarContentMessage; Id=6231;
(01:58:10) Received <- Name=CharacterLoadingCompleteMessage; Id=6471;
(01:58:10) Received <- Name=HaapiSessionMessage; Id=6769;
(01:58:10) Received <- Name=StartupActionsListMessage; Id=1301;
(01:58:10) Sent     -> Name=FriendsGetListMessage; Id=4001;
(01:58:10) Sent     -> Name=AcquaintancesGetListMessage; Id=6819;
(01:58:10) Sent     -> Name=IgnoredGetListMessage; Id=5676;
(01:58:10) Sent     -> Name=SpouseGetInformationsMessage; Id=6355;
(01:58:10) Received <- Name=FriendsListMessage; Id=4002;
(01:58:10) Received <- Name=BasicNoOperationMessage; Id=176;
(01:58:10) Sent     -> Name=HaapiApiKeyRequestMessage; Id=6648;
(01:58:10) Received <- Name=AcquaintancesListMessage; Id=6820;
(01:58:10) Received <- Name=BasicNoOperationMessage; Id=176;
(01:58:10) Received <- Name=IgnoredListMessage; Id=5674;
(01:58:10) Received <- Name=BasicNoOperationMessage; Id=176;
(01:58:10) Received <- Name=BasicNoOperationMessage; Id=176;
(01:58:10) Received <- Name=BasicNoOperationMessage; Id=176;
(01:58:10) Received <- Name=HaapiApiKeyMessage; Id=6649;
(01:58:10) Sent     -> Name=ClientKeyMessage; Id=5607;
(01:58:10) Received <- Name=BasicNoOperationMessage; Id=176;
(01:58:10) Sent     -> Name=GameContextCreateRequestMessage; Id=250;
(01:58:10) Received <- Name=GameContextDestroyMessage; Id=201;
(01:58:10) Received <- Name=GameContextCreateMessage; Id=200;
(01:58:10) Received <- Name=LifePointsRegenBeginMessage; Id=5684;
(01:58:10) Received <- Name=CurrentMapMessage; Id=220;
(01:58:10) Received <- Name=BasicTimeMessage; Id=175;
